case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
LoraWAN 1 gateways,0.9,3310,98,90,1000000,215,9263,152260,46,0,5855,3408
LoraWAN 2 gateways,0.9,5372,100,90,1000000,215,9263,247112,46,0,9263,5472
LoraWAN 3 gateways,0.9,8682,218,90,1000000,215,9263,399372,46,0,9263,8862
Multihop 1 gateways,1,9238,940,90,1000000,215,10666,938123,185,857,0,10177
LoraWAN 1 gateways,1,3457,120,90,1000000,215,9792,159022,46,0,6215,3577
LoraWAN 2 gateways,1,5659,110,90,1000000,215,9792,260314,46,0,9792,5769
LoraWAN 3 gateways,1,9225,178,90,1000000,215,9792,424350,46,0,9792,9352
Multihop 1 gateways,0.1,1709,22,90,1000000,215,1740,171966,185,20,0,1731
LoraWAN 1 gateways,0.1,562,6,90,1000000,215,1739,25852,46,0,1171,568
LoraWAN 2 gateways,0.1,1183,7,90,1000000,215,1739,54418,46,0,1739,1190
LoraWAN 3 gateways,0.1,1527,1,90,1000000,215,1739,70242,46,0,1739,1528
Multihop 1 gateways,0.2,3158,93,90,1000000,215,3285,317468,185,46,0,3251
LoraWAN 1 gateways,0.2,1055,10,90,1000000,215,3264,48530,46,0,2199,1065
LoraWAN 2 gateways,0.2,2222,23,90,1000000,215,3264,102212,46,0,3264,2245
LoraWAN 3 gateways,0.2,2903,20,90,1000000,215,3264,133538,46,0,3264,2921
Multihop 1 gateways,0.3,4283,183,90,1000000,215,4554,427897,185,145,0,4467
LoraWAN 1 gateways,0.3,1448,18,90,1000000,215,4475,66608,46,0,3009,1466
LoraWAN 2 gateways,0.3,3017,29,90,1000000,215,4475,138782,46,0,4475,3046
LoraWAN 3 gateways,0.3,3928,55,90,1000000,215,4475,180688,46,0,4475,3970
Multihop 1 gateways,0.4,5232,397,90,1000000,215,5734,521783,185,198,0,5629
LoraWAN 1 gateways,0.4,1829,32,90,1000000,215,5587,84134,46,0,3726,1861
LoraWAN 2 gateways,0.4,3774,54,90,1000000,215,5587,173604,46,0,5587,3828
LoraWAN 3 gateways,0.4,4896,70,90,1000000,215,5587,225216,46,0,5587,4943
Multihop 1 gateways,0.5,6196,388,90,1000000,215,6754,622304,185,250,0,6584
LoraWAN 1 gateways,0.5,2129,54,90,1000000,215,6526,97934,46,0,4343,2183
LoraWAN 2 gateways,0.5,4386,67,90,1000000,215,6526,201756,46,0,6526,4453
LoraWAN 3 gateways,0.5,5708,93,90,1000000,215,6526,262568,46,0,6526,5766
Multihop 1 gateways,0.6,6969,505,90,1000000,215,7704,684164,185,272,0,7475
