case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
Multihop 1 gateways,0.5,4075,12624,200,2000000,61.6614,16699,663076,492.428
LoraWAN 1 gateways,0.5,2251,26699,200,2000000,431.63,28950,105797,492.428
LoraWAN 2 gateways,0.5,15900,28950,200,2000000,431.63,28950,747300,492.428
LoraWAN 3 gateways,0.5,25056,28950,200,2000000,431.63,28950,1177632,492.428
Multihop 1 gateways,0.6,4499,10838,200,2000000,47.9589,15338,682487,492.428
LoraWAN 1 gateways,0.6,3965,28587,200,2000000,431.63,32552,186355,492.428
LoraWAN 2 gateways,0.6,22430,32552,200,2000000,431.63,32552,1054210,492.428
LoraWAN 3 gateways,0.6,29929,32552,200,2000000,431.63,32552,1406663,492.428
Multihop 1 gateways,0.7,5353,15493,200,2000000,53.9537,20846,903951,492.428
LoraWAN 1 gateways,0.7,3518,32102,200,2000000,431.63,35620,165346,492.428
LoraWAN 2 gateways,0.7,20790,35620,200,2000000,431.63,35620,977130,492.428
LoraWAN 3 gateways,0.7,23268,35620,200,2000000,431.63,35620,1093596,492.428
Multihop 1 gateways,0.8,5878,19342,200,2000000,61.6614,25221,1002322,492.428
LoraWAN 1 gateways,0.8,3415,35048,200,2000000,431.63,38465,160505,492.428
LoraWAN 2 gateways,0.8,27452,38463,200,2000000,431.63,38465,1290244,492.428
LoraWAN 3 gateways,0.8,28321,38463,200,2000000,431.63,38465,1331087,492.428
Multihop 1 gateways,0.9,5846,20902,200,2000000,53.9537,26748,994379,492.428
LoraWAN 1 gateways,0.9,3255,37700,200,2000000,431.63,40958,152985,492.428
LoraWAN 2 gateways,0.9,19660,40955,200,2000000,431.63,40958,924020,492.428
LoraWAN 3 gateways,0.9,35059,40955,200,2000000,431.63,40958,1647773,492.428
Multihop 1 gateways,1,6559,22735,200,2000000,53.9537,29295,1182050,492.428
LoraWAN 1 gateways,1,3954,39207,200,2000000,431.63,43162,185838,492.428
LoraWAN 2 gateways,1,25640,43161,200,2000000,431.63,43162,1205080,492.428
LoraWAN 3 gateways,1,39144,43161,200,2000000,431.63,43162,1839768,492.428
Multihop 1 gateways,0.1,983,2164,200,2000000,53.9537,3147,143350,492.428
LoraWAN 1 gateways,0.1,648,7182,200,2000000,431.63,7830,30456,492.428
LoraWAN 2 gateways,0.1,4437,7830,200,2000000,431.63,7830,208539,492.428
LoraWAN 3 gateways,0.1,6905,7830,200,2000000,431.63,7830,324535,492.428
Multihop 1 gateways,0.2,1995,5118,200,2000000,61.6614,7113,299249,492.428
LoraWAN 1 gateways,0.2,1294,13109,200,2000000,431.63,14403,60818,492.428
LoraWAN 2 gateways,0.2,4923,14403,200,2000000,431.63,14403,231381,492.428
LoraWAN 3 gateways,0.2,13321,14403,200,2000000,431.63,14403,626087,492.428
Multihop 1 gateways,0.3,2247,6173,200,2000000,47.9589,8420,345027,492.428
LoraWAN 1 gateways,0.3,1927,18052,200,2000000,431.63,19979,90569,492.428
LoraWAN 2 gateways,0.3,13770,19979,200,2000000,431.63,19979,647190,492.428
LoraWAN 3 gateways,0.3,19300,19979,200,2000000,431.63,19979,907100,492.428
Multihop 1 gateways,0.4,4438,11804,200,2000000,71.9383,16242,721638,492.428
LoraWAN 1 gateways,0.4,2090,22691,200,2000000,431.63,24781,98230,492.428
LoraWAN 2 gateways,0.4,9993,24781,200,2000000,431.63,24781,469671,492.428
LoraWAN 3 gateways,0.4,15949,24781,200,2000000,431.63,24781,749603,492.428
Multihop 1 gateways,0.5,2946,11719,200,2000000,53.9537,14665,434844,492.428
LoraWAN 1 gateways,0.5,3157,25793,200,2000000,431.63,28950,148379,492.428
LoraWAN 2 gateways,0.5,6548,28950,200,2000000,431.63,28950,307756,492.428
LoraWAN 3 gateways,0.5,26810,28950,200,2000000,431.63,28950,1260070,492.428
Multihop 1 gateways,0.6,5151,15766,200,2000000,61.6614,20918,899815,492.428
LoraWAN 1 gateways,0.6,3241,29311,200,2000000,431.63,32552,152327,492.428
LoraWAN 2 gateways,0.6,28167,32552,200,2000000,431.63,32552,1323849,492.428
LoraWAN 3 gateways,0.6,25931,32552,200,2000000,431.63,32552,1218757,492.428
Multihop 1 gateways,0.7,5226,18946,200,2000000,71.9383,24173,821701,492.428
LoraWAN 1 gateways,0.7,2762,32858,200,2000000,431.63,35620,129814,492.428
LoraWAN 2 gateways,0.7,25670,35620,200,2000000,431.63,35620,1206490,492.428
LoraWAN 3 gateways,0.7,21568,35620,200,2000000,431.63,35620,1013696,492.428
